timestamp,cash,mark_value,equity,open_positions,window_id
2023-02-03,99519.62699999992,0.0,99519.62699999992,1,3
2023-02-06,99498.41199999992,0.0,99498.41199999992,0,3
2023-02-07,99488.77649999992,0.0,99488.77649999992,1,3
2023-02-08,99459.4559999999,0.0,99459.4559999999,1,3
2023-02-09,99442.23699999989,0.0,99442.23699999989,2,3
2023-02-10,99394.9009999999,0.0,99394.9009999999,1,3
2023-02-13,99386.3274999999,0.0,99386.3274999999,2,3
2023-02-14,99375.71549999989,0.0,99375.71549999989,3,3
2023-02-15,99365.70649999988,0.0,99365.70649999988,4,3
2023-02-16,99308.52799999987,0.0,99308.52799999987,1,3
2023-02-17,99290.97599999988,0.0,99290.97599999988,0,3
2023-02-21,99271.05699999987,0.0,99271.05699999987,1,3
2023-02-22,99253.27099999986,0.0,99253.27099999986,2,3
2023-02-23,99234.76499999985,0.0,99234.76499999985,3,3
2023-02-24,99216.90699999985,0.0,99216.90699999985,4,3
2023-02-27,99142.83799999987,0.0,99142.83799999987,0,3
2023-02-28,99142.83799999987,0.0,99142.83799999987,0,3
2023-03-01,99123.97199999986,0.0,99123.97199999986,1,3
2023-03-02,99106.84299999986,0.0,99106.84299999986,2,3
2023-03-03,99070.84799999987,0.0,99070.84799999987,0,3
2023-03-06,99052.22499999986,0.0,99052.22499999986,1,3
2023-03-07,99033.60199999985,0.0,99033.60199999985,0,3
2023-03-08,99013.52999999985,0.0,99013.52999999985,1,3
2023-03-09,98984.60999999986,0.0,98984.60999999986,1,3
2023-03-10,98975.76199999986,0.0,98975.76199999986,0,3
2023-03-13,98975.76199999986,0.0,98975.76199999986,0,3
2023-03-14,98955.10499999985,0.0,98955.10499999985,1,3
2023-03-15,99980.252,0.0,99980.252,1,4
2023-03-16,99962.15099999998,0.0,99962.15099999998,2,4
2023-03-17,99914.75649999997,0.0,99914.75649999997,1,4
2023-03-20,99887.24499999998,0.0,99887.24499999998,1,4
2023-03-21,99867.16399999998,0.0,99867.16399999998,2,4
2023-03-22,99818.61749999996,0.0,99818.61749999996,1,4
2023-03-23,99808.11799999996,0.0,99808.11799999996,0,4
2023-03-24,99788.34299999995,0.0,99788.34299999995,1,4
2023-03-27,99767.90199999994,0.0,99767.90199999994,2,4
2023-03-28,99748.26199999994,0.0,99748.26199999994,3,4
2023-03-29,99688.40599999994,0.0,99688.40599999994,0,4
2023-03-30,99688.40599999994,0.0,99688.40599999994,0,4
2023-03-31,99688.40599999994,0.0,99688.40599999994,0,4
2023-04-03,99688.40599999994,0.0,99688.40599999994,0,4
2023-04-04,99668.10899999994,0.0,99668.10899999994,1,4
2023-04-05,99647.81199999993,0.0,99647.81199999993,0,4
2023-04-06,99647.81199999993,0.0,99647.81199999993,0,4
2023-04-10,99647.81199999993,0.0,99647.81199999993,0,4
2023-04-11,99628.96399999992,0.0,99628.96399999992,1,4
2023-04-12,99608.10899999991,0.0,99608.10899999991,2,4
2023-04-13,99558.16749999991,0.0,99558.16749999991,1,4
2023-04-14,99547.9289999999,0.0,99547.9289999999,0,4
2023-04-17,99538.8559999999,0.0,99538.8559999999,1,4
2023-04-18,99529.7829999999,0.0,99529.7829999999,0,4
2023-04-19,99529.7829999999,0.0,99529.7829999999,0,4
2023-04-20,99529.7829999999,0.0,99529.7829999999,0,4
2023-04-21,99529.7829999999,0.0,99529.7829999999,0,4
2023-04-24,99529.7829999999,0.0,99529.7829999999,0,4
2023-04-25,99529.7829999999,0.0,99529.7829999999,0,4
2023-04-26,99529.7829999999,0.0,99529.7829999999,0,4
2023-04-27,99529.7829999999,0.0,99529.7829999999,0,4
2023-04-28,99519.81449999989,0.0,99519.81449999989,1,4
2023-05-01,99491.20499999989,0.0,99491.20499999989,1,4
2023-05-02,99471.34899999989,0.0,99471.34899999989,2,4
2023-05-03,99432.85199999988,0.0,99432.85199999988,0,4
2023-05-04,99413.86899999988,0.0,99413.86899999988,1,4
2023-05-05,99394.88599999988,0.0,99394.88599999988,0,4
2023-05-08,99377.81999999988,0.0,99377.81999999988,1,4
2023-05-09,99357.88299999987,0.0,99357.88299999987,2,4
2023-05-10,99320.87999999986,0.0,99320.87999999986,0,4
2023-05-11,99299.86299999985,0.0,99299.86299999985,1,4
2023-05-12,99282.19399999984,0.0,99282.19399999984,2,4
2023-05-15,99243.50799999984,0.0,99243.50799999984,0,4
2023-05-16,99224.63299999984,0.0,99224.63299999984,1,4
2023-05-17,99196.31149999984,0.0,99196.31149999984,1,4
2023-05-18,99186.41499999983,0.0,99186.41499999983,2,4
2023-05-19,99149.21399999982,0.0,99149.21399999982,1,4
2023-05-22,99131.35599999983,0.0,99131.35599999983,0,4
2023-05-23,99111.43699999982,0.0,99111.43699999982,1,4
2023-05-24,99091.35599999981,0.0,99091.35599999981,2,4
2023-05-25,100000.0,0.0,100000.0,0,5
2023-05-26,99990.44099999999,0.0,99990.44099999999,1,5
2023-05-30,99980.882,0.0,99980.882,0,5
2023-05-31,99980.882,0.0,99980.882,0,5
2023-06-01,99972.151,0.0,99972.151,1,5
2023-06-02,99961.665,0.0,99961.665,2,5
2023-06-05,99925.23799999998,0.0,99925.23799999998,1,5
2023-06-06,99897.59149999998,0.0,99897.59149999998,1,5
2023-06-07,99887.15499999998,0.0,99887.15499999998,0,5
2023-06-08,99877.99649999998,0.0,99877.99649999998,1,5
2023-06-09,99868.83799999997,0.0,99868.83799999997,0,5
2023-06-12,99858.74799999998,0.0,99858.74799999998,1,5
2023-06-13,99848.45099999997,0.0,99848.45099999997,2,5
2023-06-14,99837.91999999997,0.0,99837.91999999997,3,5
2023-06-15,99827.28999999996,0.0,99827.28999999996,4,5
2023-06-16,99767.12799999995,0.0,99767.12799999995,1,5
2023-06-20,99748.51399999995,0.0,99748.51399999995,0,5
2023-06-21,99748.51399999995,0.0,99748.51399999995,0,5
2023-06-22,99739.64349999995,0.0,99739.64349999995,1,5
2023-06-23,99730.77299999994,0.0,99730.77299999994,0,5
2023-06-26,99710.37699999993,0.0,99710.37699999993,1,5
2023-06-27,99680.95749999995,0.0,99680.95749999995,1,5
2023-06-28,99671.93399999995,0.0,99671.93399999995,0,5
2023-06-29,99671.93399999995,0.0,99671.93399999995,0,5
2023-06-30,99671.93399999995,0.0,99671.93399999995,0,5
2023-07-03,99671.93399999995,0.0,99671.93399999995,0,5
2023-07-05,99671.93399999995,0.0,99671.93399999995,0,5
2023-07-06,99671.93399999995,0.0,99671.93399999995,0,5
2023-07-07,99651.52899999995,0.0,99651.52899999995,1,5
2023-07-10,99631.12399999995,0.0,99631.12399999995,0,5
2023-07-11,99622.68099999995,0.0,99622.68099999995,1,5
2023-07-12,99614.23799999995,0.0,99614.23799999995,0,5
2023-07-13,99604.48999999995,0.0,99604.48999999995,1,5
2023-07-14,99594.74199999994,0.0,99594.74199999994,0,5
2023-07-17,99584.81399999994,0.0,99584.81399999994,1,5
2023-07-18,99575.62849999993,0.0,99575.62849999993,2,5
2023-07-19,99556.51499999993,0.0,99556.51499999993,0,5
2023-07-20,99556.51499999993,0.0,99556.51499999993,0,5
2023-07-21,99556.51499999993,0.0,99556.51499999993,0,5
2023-07-24,99556.51499999993,0.0,99556.51499999993,0,5
2023-07-25,99556.51499999993,0.0,99556.51499999993,0,5
2023-07-26,99547.19449999993,0.0,99547.19449999993,1,5
2023-07-27,99518.77399999992,0.0,99518.77399999992,1,5
2023-07-28,99499.67399999991,0.0,99499.67399999991,0,5
2023-07-31,99491.11849999991,0.0,99491.11849999991,1,5
2023-08-01,99482.56299999991,0.0,99482.56299999991,0,5
2023-08-02,99463.5799999999,0.0,99463.5799999999,1,5
2023-08-03,99443.4359999999,0.0,99443.4359999999,2,5
2023-08-04,99404.3089999999,0.0,99404.3089999999,0,5
2023-08-07,99385.8479999999,0.0,99385.8479999999,1,5
2023-08-08,99982.025,0.0,99982.025,1,6
2023-08-09,99964.04999999999,0.0,99964.04999999999,0,6
2023-08-10,99964.04999999999,0.0,99964.04999999999,0,6
2023-08-11,99944.36499999998,0.0,99944.36499999998,1,6
