timestamp_utc,plan_id,symbol,strategy,entry_debit,entry_mid,current_mark,peak_mark,unrealized_pnl,unrealized_pnl_pct,signal,closed,dte
2026-04-07T14:22:37Z,SPY_20260407_1418,SPY,,230.0,202.0,128.0,128.0,-102.0,-44.35,hold,0,31.234
2026-04-07T14:22:48Z,AAPL_20260407_1416,AAPL,,213.0,195.0,206.0,206.0,-7.0,-3.29,hold,0,31.234
2026-04-07T14:24:09Z,TSLA_20260407_1417,TSLA,,3561.0,3526.0,3562.0,3565.0,1.0,0.03,hold,0,24.233
2026-04-07T14:24:37Z,META_20260407_1416,META,,5577.0,5521.0,5724.0,5724.0,147.0,2.64,hold,0,24.233
2026-04-07T14:24:49Z,MSFT_20260407_1417,MSFT,,2900.0,2871.0,2907.0,2907.0,7.0,0.24,hold,0,24.233
2026-04-07T14:25:04Z,GOOGL_20260407_1416,GOOGL,,2363.0,2339.0,2408.0,2408.0,45.0,1.9,hold,0,24.233
2026-04-07T14:25:40Z,QQQ_20260407_1419,QQQ,,-4.0,-30.0,358.0,358.0,362.0,9050.0,take_profit,1,31.232
2026-04-07T14:25:57Z,NVDA_20260407_1417,NVDA,,1339.0,1326.0,1336.0,1338.0,-3.0,-0.22,hold,0,24.232
2026-04-07T14:26:37Z,SPY_20260407_1418,SPY,,230.0,202.0,230.0,230.0,-0.0,-0.0,hold,0,31.232
2026-04-07T14:26:47Z,AAPL_20260407_1416,AAPL,,213.0,195.0,178.0,206.0,-35.0,-16.43,hold,0,31.231
2026-04-07T14:28:13Z,META_20260407_1425,META,,5672.0,5616.0,5651.0,5651.0,-21.0,-0.37,hold,0,24.23
2026-04-07T14:28:29Z,TSLA_20260407_1426,TSLA,,3580.0,3544.0,3605.0,3605.0,25.0,0.7,hold,0,24.23
2026-04-07T14:28:40Z,MSFT_20260407_1425,MSFT,,2958.0,2929.0,2911.0,2911.0,-47.0,-1.59,hold,0,24.23
2026-04-07T14:28:53Z,GOOGL_20260407_1425,GOOGL,,2432.0,2408.0,2418.0,2418.0,-14.0,-0.58,hold,0,24.23
2026-04-07T14:29:23Z,QQQ_20260407_1427,QQQ,,19.0,-7.0,235.0,235.0,216.0,1136.84,take_profit,1,31.23
2026-04-07T14:29:43Z,NVDA_20260407_1426,NVDA,,1350.0,1336.0,1343.0,1343.0,-7.0,-0.52,hold,0,24.229
2026-04-07T14:29:51Z,AMZN_20260407_1424,AMZN,,1987.0,1967.0,1980.0,1980.0,-7.0,-0.35,hold,0,24.229
2026-04-07T14:31:09Z,SPY_20260407_1427,SPY,,194.0,165.0,165.0,165.0,-29.0,-14.95,hold,0,31.228
2026-04-07T14:31:19Z,AAPL_20260407_1424,AAPL,,1798.0,1780.0,1751.0,1751.0,-47.0,-2.61,hold,0,24.228
2026-04-07T14:32:48Z,META_20260407_1425,META,,5672.0,5616.0,5581.0,5651.0,-91.0,-1.6,hold,0,24.227
2026-04-07T14:33:05Z,TSLA_20260407_1426,TSLA,,3580.0,3544.0,3552.0,3605.0,-28.0,-0.78,hold,0,24.227
2026-04-07T14:34:15Z,GOOGL_20260407_1425,GOOGL,,2432.0,2408.0,2455.0,2455.0,23.0,0.95,hold,0,24.226
2026-04-07T14:34:43Z,QQQ_20260407_1427,QQQ,,19.0,-7.0,241.0,241.0,222.0,1168.42,take_profit,1,31.226
2026-04-07T14:34:59Z,NVDA_20260407_1426,NVDA,,1350.0,1336.0,1347.0,1347.0,-3.0,-0.22,hold,0,24.226
2026-04-07T14:35:09Z,AMZN_20260407_1424,AMZN,,1987.0,1967.0,2020.0,2020.0,33.0,1.66,hold,0,24.226
2026-04-07T14:35:48Z,SPY_20260407_1427,SPY,,194.0,165.0,150.0,165.0,-44.0,-22.68,hold,0,31.225
2026-04-07T14:36:01Z,AAPL_20260407_1424,AAPL,,1798.0,1780.0,1737.0,1751.0,-61.0,-3.39,hold,0,24.225
2026-04-07T14:37:20Z,TSLA_20260407_1435,TSLA,,3557.0,3522.0,3530.0,3530.0,-27.0,-0.76,hold,0,24.224
2026-04-07T14:37:47Z,META_20260407_1434,META,,5655.0,5599.0,5605.0,5605.0,-50.0,-0.88,hold,0,24.224
2026-04-07T14:37:59Z,MSFT_20260407_1434,MSFT,,2954.0,2924.0,2914.0,2914.0,-40.0,-1.35,hold,0,24.224
2026-04-07T14:38:14Z,GOOGL_20260407_1433,GOOGL,,2479.0,2455.0,2409.0,2409.0,-70.0,-2.82,hold,0,24.223
2026-04-07T14:38:52Z,QQQ_20260407_1435,QQQ,,317.0,288.0,221.0,221.0,-96.0,-30.28,hold,0,31.223
2026-04-07T14:39:06Z,NVDA_20260407_1434,NVDA,,1361.0,1347.0,1312.0,1312.0,-49.0,-3.6,hold,0,24.223
2026-04-07T14:39:18Z,AAPL_20260407_1433,AAPL,,1768.0,1751.0,1750.0,1750.0,-18.0,-1.02,hold,0,24.223
2026-04-07T14:40:37Z,TSLA_20260407_1435,TSLA,,3557.0,3522.0,3539.0,3539.0,-18.0,-0.51,hold,0,24.222
2026-04-07T14:41:05Z,META_20260407_1434,META,,5655.0,5599.0,5605.0,5605.0,-50.0,-0.88,hold,0,24.221
2026-04-07T14:41:19Z,MSFT_20260407_1434,MSFT,,2954.0,2924.0,2911.0,2914.0,-43.0,-1.46,hold,0,24.221
2026-04-07T14:41:32Z,GOOGL_20260407_1433,GOOGL,,2479.0,2455.0,2409.0,2409.0,-70.0,-2.82,hold,0,24.221
2026-04-07T14:42:00Z,QQQ_20260407_1435,QQQ,,317.0,288.0,221.0,221.0,-96.0,-30.28,hold,0,31.221
2026-04-07T14:42:22Z,NVDA_20260407_1434,NVDA,,1361.0,1347.0,1325.0,1325.0,-36.0,-2.65,hold,0,24.221
2026-04-07T14:42:32Z,AAPL_20260407_1433,AAPL,,1768.0,1751.0,1731.0,1750.0,-37.0,-2.09,hold,0,24.22
2026-04-07T14:43:47Z,TSLA_20260407_1441,TSLA,,3555.0,3520.0,3577.0,3577.0,22.0,0.62,hold,0,24.22
2026-04-07T14:43:58Z,MSFT_20260407_1441,MSFT,,2941.0,2911.0,2932.0,2932.0,-9.0,-0.31,hold,0,24.219
2026-04-07T14:44:08Z,AAPL_20260407_1441,AAPL,,1757.0,1740.0,1715.0,1715.0,-42.0,-2.39,hold,0,24.219
2026-04-07T14:45:27Z,TSLA_20260407_1441,TSLA,,3555.0,3520.0,3563.0,3577.0,8.0,0.23,hold,0,24.218
2026-04-07T14:45:43Z,MSFT_20260407_1441,MSFT,,2941.0,2911.0,2917.0,2932.0,-24.0,-0.82,hold,0,24.218
2026-04-07T14:45:59Z,AAPL_20260407_1441,AAPL,,1757.0,1740.0,1710.0,1715.0,-47.0,-2.68,hold,0,24.218
2026-04-07T14:47:16Z,TSLA_20260407_1441,TSLA,,3555.0,3520.0,3569.0,3577.0,14.0,0.39,hold,0,24.217
2026-04-07T14:47:27Z,MSFT_20260407_1441,MSFT,,2941.0,2911.0,2917.0,2932.0,-24.0,-0.82,hold,0,24.217
2026-04-07T14:47:38Z,AAPL_20260407_1441,AAPL,,1757.0,1740.0,1703.0,1715.0,-54.0,-3.07,hold,0,24.217
2026-04-07T14:48:58Z,TSLA_20260407_1441,TSLA,,3555.0,3520.0,3569.0,3577.0,14.0,0.39,hold,0,24.216
2026-04-07T14:49:12Z,MSFT_20260407_1441,MSFT,,2941.0,2911.0,2917.0,2932.0,-24.0,-0.82,hold,0,24.216
2026-04-07T14:49:23Z,AAPL_20260407_1441,AAPL,,1757.0,1740.0,1714.0,1715.0,-43.0,-2.45,hold,0,24.216
2026-04-07T14:50:46Z,TSLA_20260407_1448,TSLA,,3604.0,3569.0,3539.0,3539.0,-65.0,-1.8,hold,0,24.215
